movieName,Year,Director,genre,Rating,Duration,Plot
Il sorpasso,1962,Dino Risi,"Comedy, Drama            ",8.2,108 min,An impulsive braggart takes a shy law student with him for a two-day road trip from Rome to Tuscany.
Zerkalo,1975,Andrei Tarkovsky,"Biography, Drama            ",8,107 min,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
The Treasure of the Sierra Madre,1948,John Huston,"Adventure, Drama, Western            ",8.2,126 min,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Banshun,1949,Yasujirô Ozu,Drama            ,8.2,108 min,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father."
Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki,"Animation, Adventure, Family            ",8.6,125 min,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
Some Like It Hot,1959,Billy Wilder,"Comedy, Music, Romance            ",8.2,121 min,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Vertigo,1958,Alfred Hitchcock,"Mystery, Romance, Thriller            ",8.3,128 min,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Paths of Glory,1957,Stanley Kubrick,"Drama, War            ",8.4,88 min,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
Guling jie shaonian sharen shijian,1991,Edward Yang,"Crime, Drama, Romance            ",8.2,237 min,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax."
Bei qing cheng shi,1989,Hsiao-Hsien Hou,"Drama, History            ",7.8,157 min,"The story of a family embroiled in the ""White Terror"" that was wrought on the Taiwanese people by the Kuomintang government after their arrival from mainland China in the late 1940s."
Double Indemnity,1944,Billy Wilder,"Crime, Drama, Film-Noir            ",8.3,107 min,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Das Cabinet des Dr. Caligari,1920,Robert Wiene,"Horror, Mystery, Thriller            ",8,76 min,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
Le salaire de la peur,1953,Henri-Georges Clouzot,"Adventure, Drama, Thriller            ",8.2,131 min,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
La maman et la putain,1973,Jean Eustache,"Drama, Romance            ",7.8,217 min,"The chauvinist Alexandre balances relationships with several women, including the maternal Marie and the sexually liberated Veronika, in the post-1968 intellectual scene of Paris."
La dolce vita,1960,Federico Fellini,"Comedy, Drama            ",8,174 min,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
Stop Making Sense,1984,Jonathan Demme,"Documentary, Music            ",8.7,88 min,"Considered by critics as the greatest concert film of all time, the live performance was shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and features Talking Heads' most memorable songs."
One More Time with Feeling,2016,Andrew Dominik,"Documentary, Music            ",8.2,113 min,Explores the creative process of Nick Cave and his band as the singer struggles with an unspoken personal tragedy.
Angst essen Seele auf,1974,Rainer Werner Fassbinder,"Drama, Romance            ",8,92 min,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies."
A Trip to the Moon,1902,Georges Méliès,"Short, Action, Adventure            ",8.2,13 min,A group of astronomers go on an expedition to the Moon.
Toy Story 3,2010,Lee Unkrich,"Animation, Adventure, Comedy            ",8.3,103 min,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Jodaeiye Nader az Simin,2011,Asghar Farhadi,Drama            ,8.3,123 min,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
It's a Wonderful Life,1946,Frank Capra,"Drama, Family, Fantasy            ",8.6,130 min,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
On the Waterfront,1954,Elia Kazan,"Crime, Drama, Thriller            ",8.1,108 min,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
The Maltese Falcon,1941,John Huston,"Crime, Film-Noir, Mystery            ",8,100 min,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
Il gattopardo,1963,Luchino Visconti,"Drama, History            ",7.9,186 min,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily."
Roma città aperta,1945,Roberto Rossellini,"Drama, Thriller, War            ",8,103 min,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape."
 Century of Cinema,1995–1998,Martin Scorsese,"Documentary, Biography, History            ",8.5,225 min,Martin Scorsese describes his initial and growing obsession with films from the 1940s and 50s as the art form developed and grew with clips from classics and cult classics.
Det sjunde inseglet,1957,Ingmar Bergman,"Drama, Fantasy            ",8.1,96 min,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
The Wind,1928,Victor Sjöström,"Drama, Romance, Thriller            ",8,95 min,"A frail young woman from the East moves in with her cousin in the West, where she causes tension within the family and is slowly driven mad."
Yôjinbô,1961,Akira Kurosawa,"Action, Drama, Thriller            ",8.2,110 min,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
The Gold Rush,1925,Charles Chaplin,"Adventure, Comedy, Drama            ",8.1,95 min,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
Le chagrin et la pitié,1969,Marcel Ophüls,"Documentary, History, War            ",8.2,251 min,An in-depth exploration of the various reactions by the French people to the Vichy government's acceptance of Nazi invasion.
Marketa Lazarová,1967,Frantisek Vlácil,"Drama, History, Romance            ",7.9,162 min,A grim portrayal of the shift from Paganism to Christianity in medieval central Europe - as a young virgin promised to God is kidnapped and raped by a marauder who her religious father seeks to kill in return.
The Farewell,I) (2019,Lulu Wang,"Comedy, Drama            ",7.5,100 min,"A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies."
The Great Dictator,1940,Charles Chaplin,"Comedy, Drama, War            ",8.4,125 min,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
The Life and Death of Colonel Blimp,1943,Michael Powell,"Drama, Romance, War            ",8,163 min,"From the Boer War through World War II, a soldier rises through the ranks in the British military."
Voyna i mir,1965,Sergey Bondarchuk,"Drama, Romance, War            ",8.3,393 min,The Russian aristocracy prepares for the French invasion on the eve of 1812.
The Philadelphia Story,1940,George Cukor,"Comedy, Romance            ",7.9,112 min,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
Sunrise: A Song of Two Humans,1927,F.W. Murnau,"Drama, Romance            ",8.1,94 min,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
Chelovek s kino-apparatom,1929,Dziga Vertov,Documentary            ,8.3,68 min,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention."
Raiders of the Lost Ark,1981,Steven Spielberg,"Action, Adventure            ",8.4,115 min,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
Orphée,1950,Jean Cocteau,"Drama, Fantasy, Romance            ",7.9,112 min,A poet in love with Death follows his unhappy wife into the underworld.
Heimat - Eine Chronik in elf Teilen,1984,Marita Breuer,"Drama, History, War            ",8.7,924 min,The village of Schabbach experiences the shifting fortunes of Germany from 1919 to 1982.
"Aguirre, der Zorn Gottes",1972,Werner Herzog,"Action, Adventure, Biography            ",7.8,95 min,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
They Shall Not Grow Old,II) (2018,Peter Jackson,"Documentary, History, War            ",8.2,99 min,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.
The House is Black,1963,Forugh Farrokhzad,"Documentary, Short            ",7.8,20 min,"Set in a leper colony in the north of Iran, The House is Black juxtaposes ""ugliness"", of which there is much in the world as stated in the opening scenes, with religion and gratitude."
The Night of the Hunter,1955,Charles Laughton,"Crime, Drama, Film-Noir            ",8,92 min,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery."
Au hasard Balthazar,1966,Robert Bresson,Drama            ,7.8,95 min,The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.
"Steamboat Bill, Jr.",1928,Charles Reisner,"Action, Comedy, Drama            ",7.8,70 min,The effete son of a cantankerous riverboat captain comes to join his father's crew.
Ivanovo detstvo,1962,Andrei Tarkovsky,"Drama, War            ",8,95 min,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines."
Jalsaghar,1958,Satyajit Ray,"Drama, Music            ",7.9,100 min,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity."
The Shop on Main Street,1965,Ján Kadár,"Drama, War            ",8.2,128 min,"A carpenter in the Fascist Slovak State is appointed ""Aryan controller"" of a Jewish widow's store."
Trois couleurs: Rouge,1994,Krzysztof Kieslowski,"Drama, Mystery, Romance            ",8.1,99 min,A model discovers a retired judge is keen on invading people's privacy.
Hoop Dreams,1994,Steve James,"Documentary, Drama, Sport            ",8.3,170 min,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
